date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:20	18223/18223	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:19%20GMT	http://lalaynbaluch.co.uk/2011/lion-king-sebastien-torkia/	lalaynbaluch.co.uk/2011/lion-king-sebastien-torkia/index.html	(from http://lalaynbaluch.co.uk/)
21:18:20	6642/6642	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202012%2009:37:12%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/235.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumbf52b.png	(from http://lalaynbaluch.co.uk/)
21:18:21	14610/14610	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:20%20GMT	http://lalaynbaluch.co.uk/2011/shlomo-beat-boxer/	lalaynbaluch.co.uk/2011/shlomo-beat-boxer/index.html	(from http://lalaynbaluch.co.uk/)
21:18:22	10536/10536	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202012%2002:36:55%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/208.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb8d97.png	(from http://lalaynbaluch.co.uk/)
21:18:22	15260/15260	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:21%20GMT	http://lalaynbaluch.co.uk/2011/marlowe-theatre-redevelopment-mark-everett/	lalaynbaluch.co.uk/2011/marlowe-theatre-redevelopment-mark-everett/index.html	(from http://lalaynbaluch.co.uk/)
21:18:23	10354/10354	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202012%2014:10:21%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/183.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumba674.png	(from http://lalaynbaluch.co.uk/)
21:18:23	15872/15872	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:22%20GMT	http://lalaynbaluch.co.uk/2011/max-reinhardt-oily-cart-bb/	lalaynbaluch.co.uk/2011/max-reinhardt-oily-cart-bb/index.html	(from http://lalaynbaluch.co.uk/)
21:18:24	9294/9294	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202012%2013:53:59%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/172.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb77d2.png	(from http://lalaynbaluch.co.uk/)
21:18:26	10346/10346	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202012%2013:53:59%20GMT	http://lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumb.php?src=/wp-content/thumbnails/168.jpg&w=200&h=200&zc=1&ft=jpg	lalaynbaluch.co.uk/wp-content/plugins/simple-post-thumbnails/timthumbfdbe.png	(from http://lalaynbaluch.co.uk/)
21:18:26	16036/16036	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:24%20GMT	http://lalaynbaluch.co.uk/2011/heaver-magazine-summer/	lalaynbaluch.co.uk/2011/heaver-magazine-summer/index.html	(from http://lalaynbaluch.co.uk/)
21:18:26	16144/16144	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:24%20GMT	http://lalaynbaluch.co.uk/2010/rufus-wainwright-prima-donna/	lalaynbaluch.co.uk/2010/rufus-wainwright-prima-donna/index.html	(from http://lalaynbaluch.co.uk/)
21:18:26	15481/15481	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:25%20GMT	http://lalaynbaluch.co.uk/2010/dominic-rowan-globe-theatre-henry-eighth/	lalaynbaluch.co.uk/2010/dominic-rowan-globe-theatre-henry-eighth/index.html	(from http://lalaynbaluch.co.uk/)
